lao_translate	viet	score
tôi chú_ý_đến vấn_đề giáo_dục - trong thực_tế tôi thấy_rằng mọi_người đều quan_tâm_đến giáo dục.	tôi có mối_quan_tâm đến vấn_đề giáo_dục — trên_thực_tế tôi thấy tất_cả mọi_người đều quan_tâm_đến giáo dục.	8.5
tôi quan_tâm_đến vấn_đề giáo dục, và tôi nghĩ tất_cả chúng_ta đều có như vậy.	tôi có mối_quan_tâm lớn tới giáo_dục và tôi nghĩ tất_cả chúng_ta đều vậy.	8.75
điểm_tương_đồng của mỗi chương là các em sẽ làm những điều mà chúng nghĩ_đến chúng sẽ không biết, chúng sẽ cố_gắng không_do_dự	điểm_chung của những câu_chuyện này là trẻ_con sẽ làm những điều chúng nghĩ nếu chúng không biết, chúng vẫn thử làm mà không do dự.	9.0
những gì tôi đang cố_gắng nói ở_đây không_phải là nó sai và sự_sáng_tạo là cùng_một thứ.	điều tôi muốn_nói ở_đây không_có nghĩa sai và sáng_tạo là hai thứ đồng nhất.	9.5
ông cho_biết tất_cả trẻ_em đều là nghệ_sĩ bẩm sinh.	ông đã nói tất_cả mọi đứa_trẻ khi sinh_ra đều là nghệ sĩ.	9.0
bạn có_thể tưởng_tượng nó không bị_cản_trở như thế nào.	quý_vị có_thể hình_dung được đó là một sự_thay_đổi trơn_tru thế_nào rồi đấy.	8.5
trẻ_em luôn nhảy_múa nếu chúng được phép, tất_cả chúng_ta cũng vậy.	trẻ_em sẽ nhảy_múa cả_ngày nếu chúng được phép, tất_cả chúng_ta đều thế.	9.0
ngày nay, hệ_thống giáo_dục của chúng_ta dựa_trên nền_tảng ý_tưởng và khả_năng học tập.	hệ_thống giáo_dục hiện_nay dựa_trên quan_niệm về khả_năng học thuật.	8.5
và thứ_hai là năng_lực học thuật, đó là nhận_thức và quan_điểm của chúng_ta về trí thông minh, bởi_vì các trường_đại_học thiết_kế hệ_thống theo ý_tưởng của họ.	điều thứ_hai là khả_năng học thuật, cái mà đã ngự_trị cách_nhìn_nhận của chúng_ta về trí thông minh, bởi các trường_đại_học đã vạch_ra hệ_thống này theo ý họ.	8.5
nếu bạn để ý, toàn_bộ hệ_thống giáo_dục đại_chúng trên toàn_thế_giới là một quá_trình dài để_vào đại học.	nếu bạn để ý, toàn_bộ hệ_thống giáo_dục công trên thế_giới là một quá_trình kéo_dài để dẫn_tới cổng trường đại học.	9.0
trong 30 năm tới, theo unesco, nhiều người trên thế_giới sẽ tốt_nghiệp giáo_dục hơn bao_giờ hết trong lịch sử.	trong 30 năm tới, theo unesco, số người_tốt nghiệp trên toàn_thế_giới qua học hành, là lớn_nhất trong lịch sử.	8.75
